"ConditionA1.bam" "ConditionA2.bam" "ConditionA3.bam" "ConditionD1.bam" "ConditionD2.bam" "ConditionD3.bam" "ConditionE1.bam" "ConditionE2.bam" "ConditionE3.bam" "ConditionF1.bam" "ConditionF2.bam" "ConditionF3.bam" "ConditionF4.bam" "ConditionG1.bam" "ConditionG2.bam" "ConditionG3.bam" "ConditionG4.bam"
"Cluster-2491.12452" 40 28 24 33 25 20 18 33 27 21 28 31 41 16 8 67 51
"Cluster-2491.12453" 3 2 0 3 6 4 28 16 15 5 7 8 4 8 14 71 31
"Cluster-2491.12458" 59 74 39 59 45 44 10 23 27 10 17 17 38 19 17 54 54
"Cluster-2491.12468" 43 25 21 14 12 12 8 40 11 12 33 28 34 16 12 43 23
"Cluster-2491.12469" 0 0 0 0 0 0 83 23 96 0 0 0 1 50 13 88 56
"Cluster-2491.12471" 10 4 4 0 1 0 0 2 0 0 0 0 0 0 0 5 6
"Cluster-2491.12473" 40 54 40 14 5 10 10 6 3 11 21 32 62 2 10 41 27
"Cluster-2491.12476" 225 209 154 108 82 81 83 139 89 45 34 41 60 72 88 486 238
"Cluster-2491.12478" 63 47 43 24 24 18 3 27 2 8 4 11 17 10 3 27 39
"Cluster-2491.12480" 9 8 1 5 9 5 7 13 2 9 9 16 10 8 3 2 23
"Cluster-2491.12482" 11 1 1 3 4 1 3 5 3 0 1 0 2 7 1 17 5
"Cluster-2491.12484" 31 20 31 11 16 4 5 42 43 17 15 6 11 15 28 31 27
"Cluster-2491.12486" 12 2 7 0 1 0 4 13 1 0 2 2 3 6 2 31 6
"Cluster-2491.12487" 37 24 22 4 2 5 2 4 3 0 3 4 3 3 0 14 10
"Cluster-2491.12490" 426 317 241 109 100 89 38 108 79 126 177 185 254 58 59 392 210
"Cluster-2491.12492" 39 49 17 11 10 5 8 42 12 2 5 15 4 12 3 42 17
"Cluster-2491.12493" 152 124 62 166 225 141 59 79 92 218 293 294 305 50 118 287 173
"Cluster-2491.12497" 6 8 18 0 0 4 4 3 12 11 2 0 0 6 2 10 9
"Cluster-2491.12503" 6 7 6 8 4 7 3 1 9 1 1 15 13 13 6 17 15
"Cluster-2491.12504" 4 6 5 2 3 1 1 3 3 0 0 0 4 1 0 8 2
"Cluster-2491.12508" 24 23 20 11 2 2 3 2 5 17 12 15 32 5 6 38 17
"Cluster-2491.12509" 1 4 1 8 26 10 7 7 20 10 13 2 10 7 12 17 13
"Cluster-2491.12515" 2 3 0 0 1 0 244 795 6 5 44 39 231 126 6 0 0
"Cluster-2491.12516" 43 45 41 43 58 28 19 43 47 58 104 100 113 32 52 159 85
"Cluster-2491.12517" 91 84 73 123 152 85 72 143 154 168 243 267 315 81 162 485 261
"Cluster-2491.12522" 3 0 4 0 3 2 9 11 10 12 2 5 1 6 10 51 13
"Cluster-2491.12525" 100 84 53 93 55 72 21 46 33 11 14 29 62 27 7 98 68
"Cluster-2491.12526" 105 102 58 97 64 67 25 39 25 14 13 30 70 26 13 80 72
"Cluster-2491.12528" 5 15 4 4 1 1 2 3 2 6 13 10 14 2 7 15 9
"Cluster-2491.12530" 2 5 1 0 2 2 3 5 2 0 0 9 9 0 0 20 14
"Cluster-2491.12532" 17 11 8 26 51 23 26 46 30 8 8 10 18 34 12 45 43
"Cluster-2491.12536" 205 150 87 209 225 154 87 180 181 97 147 267 392 85 76 226 227
"Cluster-2491.12537" 10 19 16 0 7 2 0 6 2 0 3 1 0 1 0 6 8
"Cluster-2491.12538" 5 1 1 2 2 3 0 19 5 0 0 1 5 7 0 25 6
"Cluster-2491.12541" 1 3 1 3 1 1 3 6 6 2 0 1 3 2 4 20 25
"Cluster-2491.12542" 8 9 6 5 5 5 3 25 1 1 4 2 1 17 0 32 14
"Cluster-2491.12545" 110 82 72 136 119 93 19 75 47 9 7 12 40 51 22 193 112
"Cluster-2491.12547" 2 4 2 2 1 2 2 4 0 0 0 0 4 10 0 6 9
"Cluster-2491.12548" 100 57 50 35 46 25 39 35 17 23 50 63 67 32 26 203 122
"Cluster-2491.12550" 4 1 10 7 6 4 4 8 6 8 2 1 0 4 3 12 17
"Cluster-2491.12551" 1600 2889 3331 144 26 46 124 47 40 202 256 56 33 124 338 432 107
"Cluster-2491.12554" 4 8 4 16 17 21 13 52 49 1 12 11 24 37 7 123 59
"Cluster-2491.12558" 57 67 47 11 10 3 3 1 5 5 16 10 14 1 2 9 12
"Cluster-2491.12559" 62 46 39 9 9 2 3 3 4 7 17 8 4 1 2 4 10
"Cluster-2491.12560" 117 155 119 32 34 29 40 77 60 32 31 15 38 30 38 274 105
"Cluster-2491.12564" 18 15 7 12 7 4 21 59 27 3 12 25 28 18 16 88 63
"Cluster-2491.12566" 11 5 9 1 2 3 1 7 1 2 0 1 1 2 1 21 14
"Cluster-2491.12568" 1 8 2 6 4 5 3 9 1 0 0 4 9 7 0 4 17
"Cluster-2491.12569" 66 48 24 87 38 45 61 89 92 52 45 26 112 50 21 384 200
"Cluster-2491.12570" 4 4 1 0 2 2 0 0 1 1 3 1 5 2 1 5 4
"Cluster-2491.12574" 50 64 26 98 155 103 42 74 96 82 140 187 203 45 70 202 132
"Cluster-2491.12576" 21 11 9 13 17 25 2 3 4 2 9 6 13 6 4 3 12
"Cluster-2491.12580" 4 2 2 2 0 2 0 0 0 6 1 1 2 6 1 1 3
"Cluster-2491.12583" 67 56 32 24 33 30 9 27 10 55 72 31 47 24 38 29 29
"Cluster-2491.12594" 0 0 2 0 0 2 2 0 4 3 6 2 3 20 9 1 2
"Cluster-2491.12595" 15 14 4 11 6 8 18 17 14 30 44 34 41 12 22 36 25
"Cluster-2491.12596" 4 1 0 0 0 0 32 117 1 0 7 3 33 9 3 0 0
"Cluster-2491.12597" 46 21 6 28 37 15 20 60 72 39 36 18 43 21 24 101 64
"Cluster-2491.12598" 4 3 3 2 11 8 1 5 3 9 11 2 2 4 14 6 12
"Cluster-2491.12600" 22 21 36 4 5 1 4 4 4 6 9 11 8 3 4 12 15
"Cluster-2491.12601" 31 36 32 4 3 3 4 8 2 12 8 7 10 5 7 17 14
"Cluster-2491.12602" 130 100 67 30 50 32 75 92 90 35 86 37 50 48 81 305 207
"Cluster-2491.12605" 69 35 36 4 7 0 0 6 2 1 3 5 31 5 3 20 10
"Cluster-2491.12606" 45 17 29 1 4 2 0 2 0 0 2 3 6 1 1 5 6
"Cluster-2491.12608" 3 3 0 7 10 5 2 5 0 0 0 2 6 6 0 5 5
"Cluster-2491.12609" 7 12 0 0 2 1 3 4 5 9 3 10 2 5 10 10 12
"Cluster-2491.12610" 34 15 12 21 27 16 13 32 27 6 17 14 13 15 10 68 46
"Cluster-2491.12612" 11 4 4 4 1 2 4 4 6 4 5 6 14 3 12 19 19
"Cluster-2491.12614" 30 38 24 15 14 14 2 6 0 4 2 14 15 4 2 3 12
"Cluster-2491.12618" 0 0 0 1 1 1 31 14 12 0 0 0 2 15 1 46 9
"Cluster-2491.12621" 13 10 13 6 6 4 6 12 11 3 9 16 16 15 7 23 14
"Cluster-2491.12622" 29 26 23 81 103 59 34 105 81 45 51 155 138 83 31 112 165
"Cluster-2491.12623" 13 5 8 20 15 17 16 7 12 0 5 12 33 5 2 30 39
"Cluster-2491.12626" 0 3 0 2 8 3 1 7 7 5 9 4 7 8 9 6 10
"Cluster-2491.12628" 198 171 138 69 72 53 25 45 42 65 87 287 299 36 77 150 213
"Cluster-2491.12633" 5 5 5 145 144 103 36 60 158 15 15 7 5 35 41 149 88
"Cluster-2491.12637" 257 217 157 105 154 85 47 65 102 219 327 427 417 54 141 565 252
"Cluster-2491.12640" 0 0 2 0 0 0 7 9 3 0 0 0 1 1 3 25 6
"Cluster-2491.12641" 9 1 6 4 4 7 2 3 0 0 0 2 4 1 0 0 3
"Cluster-2491.12645" 2 6 0 9 12 4 0 0 0 0 0 0 6 2 0 3 5
"Cluster-2491.12647" 7 5 17 23 16 24 14 36 23 2 30 8 27 11 14 46 37
"Cluster-2491.12649" 9 13 3 23 26 11 16 45 34 7 6 9 23 14 5 67 54
"Cluster-2491.12654" 106 94 73 64 87 60 66 117 99 94 142 108 158 51 85 159 123
"Cluster-2491.12656" 39 38 16 284 269 230 72 79 118 63 66 137 253 56 37 82 271
"Cluster-2491.12657" 112 101 85 21 41 27 12 24 20 17 15 21 26 14 13 51 40
"Cluster-2491.12660" 11 15 3 14 17 8 7 12 10 14 26 29 47 5 11 32 34
"Cluster-2491.12661" 37 36 18 13 12 13 12 30 19 14 31 55 48 17 23 25 45
"Cluster-2491.12672" 44 33 15 30 29 40 43 81 73 28 54 27 41 54 32 220 98
"Cluster-2491.12676" 14 16 17 157 175 209 1552 775 1957 156 427 503 333 346 441 2780 1437
"Cluster-2491.12681" 5 4 2 1 4 1 202 50 208 1 3 2 0 62 36 143 87
"Cluster-2491.12684" 15 5 4 4 3 9 1 6 3 2 1 4 5 4 0 17 14
"Cluster-2491.12686" 14 12 6 4 6 3 3 3 3 1 1 10 8 9 2 7 9
"Cluster-2491.12688" 76 51 38 17 26 16 5 31 4 17 10 15 36 4 13 56 41
"Cluster-2491.12690" 16 2 9 2 5 2 3 6 4 0 4 3 4 1 1 6 5
"Cluster-2491.12691" 1 8 0 5 1 0 0 4 1 1 0 0 1 1 0 3 4
"Cluster-2491.12693" 19 16 27 1 1 5 1 8 11 7 14 1 9 2 9 16 21
"Cluster-2491.12696" 19 26 5 12 9 3 3 4 4 13 4 7 17 10 3 12 8
"Cluster-2491.12698" 0 1 0 6 0 3 2 2 3 0 2 0 5 4 1 2 2
"Cluster-2491.12703" 35 33 31 12 12 14 26 90 83 29 43 21 22 44 54 152 44
"Cluster-2491.12704" 12 7 8 13 4 10 2 14 11 0 2 7 8 14 0 23 23
"Cluster-2491.12705" 35 36 25 1 4 6 0 15 9 7 8 5 10 4 9 26 22
"Cluster-2491.12706" 79 48 28 24 27 28 20 59 29 69 179 244 271 31 60 296 166
"Cluster-2491.12713" 0 0 4 2 8 3 4 6 7 1 1 0 4 5 4 16 8
"Cluster-2491.12715" 20 15 4 2 2 4 0 5 2 0 6 0 0 1 0 0 2
"Cluster-2491.12716" 35 17 10 11 3 11 2 6 4 1 0 1 5 4 0 30 15
"Cluster-2491.12717" 60 76 48 97 104 76 42 102 111 123 136 80 135 69 94 246 126
"Cluster-2491.12719" 13 20 16 11 8 3 11 15 15 2 7 5 11 2 7 56 24
"Cluster-2491.12720" 18 10 9 8 6 2 6 12 7 1 6 3 7 2 6 25 17
"Cluster-2491.12723" 8 1 4 4 1 5 1 1 3 3 15 13 14 6 4 8 14
"Cluster-2491.12724" 2 0 0 1 1 0 1 0 0 0 0 0 0 5 0 2 0
"Cluster-2491.12727" 4 0 2 0 2 0 7 1 1 0 0 0 0 5 0 6 5
"Cluster-2491.12730" 37 55 55 18 6 6 5 9 6 12 22 21 57 4 10 15 41
"Cluster-2491.12742" 52 36 35 16 13 11 8 18 13 68 81 129 144 12 45 135 83
"Cluster-2491.12745" 353 292 203 88 93 50 63 63 65 57 55 61 102 43 29 183 122
"Cluster-2491.12746" 0 3 0 0 1 0 5 11 0 0 0 2 4 4 2 1 12
"Cluster-2491.12747" 14 36 17 1 3 2 1886 6519 13 5 197 168 1173 923 31 9 14
"Cluster-2491.12748" 154 187 98 312 307 187 61 127 152 85 141 467 470 95 86 344 270
"Cluster-2491.12749" 142 68 47 3 3 2 19 41 5 137 298 531 541 5 97 408 201
"Cluster-2491.12750" 2 3 1 7 2 1 0 0 2 0 0 1 1 2 0 4 4
"Cluster-2491.12753" 0 0 21 174 1 25 32 6 47 53 0 1 2 3 0 29 34
"Cluster-2491.12756" 283 260 117 217 235 155 75 239 117 44 89 152 226 99 66 205 337
"Cluster-2491.12761" 40 45 11 44 59 39 0 9 7 3 2 5 16 6 0 33 29
"Cluster-2491.12764" 9 9 2 4 2 1 2 15 15 2 4 1 1 11 7 27 17
"Cluster-2491.12765" 6 10 2 0 4 4 1 2 1 0 0 2 4 9 1 8 3
"Cluster-2491.12767" 1 0 0 3 11 7 31 30 2 7 11 2 6 142 26 35 43
"Cluster-2491.12774" 87 108 57 3 0 1 18 41 21 17 12 10 9 29 22 28 15
"Cluster-2491.12777" 14 11 1 4 13 12 0 4 3 0 0 0 2 2 0 2 4
"Cluster-2491.12780" 74 54 39 121 158 98 44 132 145 48 68 74 86 85 69 275 155
"Cluster-2491.12781" 10 6 1 3 13 11 11 31 31 2 5 6 14 29 14 103 82
"Cluster-2491.12783" 10 7 0 28 32 28 34 37 21 8 4 4 8 34 15 111 56
"Cluster-2491.12785" 22 11 4 25 64 44 12 42 4 4 2 2 21 32 3 36 62
"Cluster-2491.12786" 15 30 17 11 9 19 4 12 12 32 4 0 3 7 23 25 23
"Cluster-2491.12788" 387 247 324 25 20 19 72 65 17 463 881 1298 2265 17 331 1040 443
"Cluster-2491.12789" 159 101 208 0 0 0 22 18 3 257 633 626 1220 3 227 504 194
"Cluster-2491.12791" 282 172 230 25 21 18 54 58 16 310 713 1089 1864 18 288 866 375
"Cluster-2491.12792" 1 0 1 1 4 1 1 2 0 2 0 0 1 1 1 1 3
"Cluster-2491.12793" 152 130 71 230 289 186 56 84 178 233 303 363 436 61 142 365 336
"Cluster-2491.12794" 103 58 92 116 122 96 49 96 90 56 101 170 237 67 69 166 211
"Cluster-2491.12795" 15 6 4 9 5 2 4 7 1 0 0 0 7 4 0 3 12
"Cluster-2491.12797" 38 37 15 28 31 25 17 18 21 32 45 31 48 22 33 91 49
"Cluster-2491.12801" 121 82 49 69 52 47 18 151 81 74 125 57 94 42 78 310 103
"Cluster-2491.12802" 425 568 291 310 301 220 130 298 281 301 458 554 466 181 237 501 416
"Cluster-2491.12805" 9 4 9 16 21 13 18 17 30 7 7 4 5 13 18 95 52
"Cluster-2491.12807" 23 17 17 18 20 11 15 33 5 2 7 36 32 10 7 38 27
"Cluster-2491.12809" 114 53 85 115 167 97 52 39 41 351 486 678 824 28 167 578 271
"Cluster-2491.12810" 11 13 8 1 3 4 27 4 11 2 2 6 7 7 9 26 24
"Cluster-2491.12816" 11 13 0 21 15 28 1 4 2 0 1 6 13 5 0 1 10
"Cluster-2491.12817" 4 0 0 0 1 1 0 0 0 2 0 0 0 2 0 1 0
"Cluster-2491.12820" 15 23 5 5 3 2 1 3 0 0 1 1 3 0 0 4 8
"Cluster-2491.12823" 0 2 1 7 7 1 11 14 9 2 2 1 5 7 3 14 12
"Cluster-2491.12825" 34 56 23 31 15 24 7 12 16 4 12 22 47 10 5 23 21
"Cluster-2491.12826" 0 1 2 1 0 0 426 1861 0 0 9 14 99 323 0 0 0
"Cluster-2491.12829" 8 10 2 32 21 17 15 36 43 10 17 25 11 20 16 138 40
"Cluster-2491.12833" 121 135 59 80 56 50 4 57 9 14 14 43 88 25 3 40 83
"Cluster-2491.12837" 40 43 27 37 40 37 14 69 24 15 21 16 29 19 22 166 64
"Cluster-2491.12838" 1 1 3 21 2 11 11 1 5 10 0 0 2 1 2 9 10
"Cluster-2491.12841" 9 17 4 1 14 7 1 3 3 2 0 4 4 2 1 1 7
"Cluster-2491.12845" 11 9 5 4 3 4 1 1 0 1 2 1 3 2 0 3 4
"Cluster-2491.12848" 70 156 68 170 122 105 35 58 40 28 60 38 79 20 20 47 85
"Cluster-2491.12850" 12 37 35 12 31 28 4 13 19 57 19 1 3 31 43 33 37
"Cluster-2491.12851" 0 0 0 0 0 1 14 25 2 0 0 0 0 12 0 65 42
"Cluster-2491.12853" 4 5 0 1 5 10 0 0 1 0 0 1 4 1 0 6 11
"Cluster-2491.12856" 2 9 5 12 23 7 2 15 0 0 0 1 2 6 0 8 11
"Cluster-2491.12860" 20 10 9 5 9 7 7 12 11 3 7 4 7 2 9 28 15
"Cluster-2491.12864" 10 2 3 0 7 1 1 5 6 8 11 11 22 2 8 18 10
"Cluster-2491.12865" 13 12 52 17 3 1 128 125 181 34 103 5 86 738 167 4083 334
"Cluster-2491.12867" 0 0 0 114 111 94 14 8 19 0 4 1 1 16 2 63 39
"Cluster-2491.12870" 4 8 8 0 1 5 3 3 10 0 2 1 5 2 7 7 4
"Cluster-2491.12871" 9 11 13 2 1 8 1 4 8 0 2 1 5 3 4 9 9
"Cluster-2491.12873" 7 15 7 14 12 14 3 6 7 3 4 4 9 3 8 17 17
"Cluster-2491.12875" 16 10 6 2 5 4 1 7 1 0 1 6 10 7 1 16 8
"Cluster-2491.12881" 11 9 8 15 23 13 9 14 20 13 62 38 33 13 19 37 32
"Cluster-2491.12888" 17 2 0 0 0 1 1 10 0 0 0 0 0 9 0 8 13
"Cluster-2491.12890" 0 0 0 0 0 0 11 35 0 0 3 0 4 6 0 0 0
"Cluster-2491.12891" 45 2 4 0 29 6 1 29 7 2 6 5 0 11 0 0 47
"Cluster-2491.12892" 25 11 19 114 177 135 66 112 167 86 126 135 144 90 83 364 244
"Cluster-2491.12893" 72 72 48 34 29 25 12 19 16 3 10 52 55 14 8 53 32
"Cluster-2491.12895" 7 14 5 14 29 19 6 2 6 1 2 1 3 2 1 24 11
"Cluster-2491.12904" 56 23 10 12 11 6 182 267 199 4 4 3 13 140 63 345 251
"Cluster-2491.12905" 0 2 0 0 0 0 23 12 21 5 8 5 1 18 1 31 15
"Cluster-2491.12907" 191 132 96 9 7 16 12 23 27 58 140 35 76 15 50 36 18
"Cluster-2491.12910" 4 2 3 2 0 0 13 24 9 2 0 0 3 23 3 69 33
"Cluster-2491.12911" 0 0 0 0 0 0 42 107 51 0 0 0 1 71 38 142 90
"Cluster-2491.12913" 4 0 0 0 5 0 0 1 2 1 2 1 0 4 0 2 6
"Cluster-2491.12916" 28 15 30 12 7 9 25 32 15 21 48 110 88 24 23 77 58
"Cluster-2491.12917" 28 19 13 12 7 10 8 22 10 9 8 15 28 5 10 36 38
"Cluster-2491.12918" 8 7 6 1 0 3 3 0 0 13 2 0 0 2 7 2 1
"Cluster-2491.12921" 127 86 80 47 60 42 63 105 143 76 113 56 55 50 74 355 204
"Cluster-2491.12922" 74 51 25 28 15 17 22 48 16 20 14 54 72 26 25 33 47
"Cluster-2491.12924" 26 24 6 22 28 25 7 31 22 15 35 39 46 16 15 22 40
"Cluster-2491.12927" 981 766 936 28 12 20 30 96 37 688 1047 817 960 13 373 532 398
"Cluster-2491.12929" 5 10 1 9 4 1 4 4 7 3 6 14 11 4 3 25 16
"Cluster-2491.12934" 0 1 1 0 0 0 433 1415 6 5 32 24 266 126 10 1 0
"Cluster-2491.12935" 10 4 0 0 7 7 0 5 0 0 0 0 3 2 0 4 1
"Cluster-2491.12938" 131 122 203 47 50 37 14 27 10 9 10 162 196 32 4 227 115
"Cluster-2491.12939" 1 3 2 3 9 4 8 12 21 7 4 9 1 7 10 33 15
"Cluster-2491.12943" 0 0 0 0 0 1 15 178 0 0 3 1 12 10 0 1 0
"Cluster-2491.12944" 35 20 3 1 3 4 0 15 8 4 4 4 4 16 2 8 19
"Cluster-2491.12950" 172 132 95 36 47 40 36 40 17 50 90 173 217 27 31 242 154
"Cluster-2491.12953" 0 1 1 0 0 0 47 285 0 0 9 4 23 15 6 1 0
"Cluster-2491.12957" 36 32 22 55 59 40 32 39 20 29 36 83 121 32 21 96 103
"Cluster-2491.12961" 7 6 6 4 6 6 1 10 3 3 4 6 10 8 1 17 8
"Cluster-2491.12963" 44 9 21 67 101 64 19 69 107 95 77 23 35 40 65 181 93
"Cluster-2491.12966" 1 0 0 0 0 0 5 0 0 2 1 0 0 13 4 1 1
"Cluster-2491.12967" 1 0 0 2 0 0 38 5 7 15 22 2 9 131 54 8 9
"Cluster-2491.12970" 7 5 2 5 4 2 1 6 3 1 7 8 6 0 4 4 6
"Cluster-2491.12980" 50 35 29 2 4 9 3 10 3 5 11 13 19 4 4 36 15
"Cluster-2491.12981" 8 14 3 5 14 10 3 5 0 1 1 1 5 4 1 1 10
"Cluster-2491.12984" 5 5 1 0 5 0 6 7 13 8 1 0 0 5 11 15 6
"Cluster-2491.12985" 0 0 0 0 0 0 6 1 24 0 0 1 1 17 0 9 18
"Cluster-2491.12988" 101 91 84 16 15 8 10 18 6 2 6 19 18 7 4 41 38
"Cluster-2491.12990" 13 0 3 11 8 1 4 3 2 9 11 21 31 3 0 5 0
"Cluster-2491.12991" 23 34 13 3 6 6 4 3 4 14 5 0 3 5 15 14 7
"Cluster-2491.12994" 15 11 4 15 21 6 3 2 2 1 0 7 18 10 0 25 14
"Cluster-2491.12998" 31 28 12 31 48 29 17 15 13 2 7 19 39 17 2 64 38
"Cluster-2491.13002" 97 91 50 65 31 61 58 49 18 18 27 50 130 11 8 78 186
"Cluster-2491.13004" 1 2 1 0 0 0 79 18 42 0 0 0 2 43 6 214 93
"Cluster-2491.13006" 0 0 0 0 0 0 102 67 140 0 0 0 0 106 14 321 97
"Cluster-2491.13007" 14 35 3 28 23 26 14 32 47 8 5 5 6 29 5 50 46
"Cluster-2491.13008" 0 0 0 2 2 0 1 5 0 0 0 0 1 12 0 0 0
"Cluster-2491.13009" 6 21 21 7 6 11 0 10 10 48 12 1 3 18 38 22 26
"Cluster-2491.13010" 26 23 17 18 21 12 9 25 10 9 12 23 32 7 15 51 39
"Cluster-2491.13011" 17 27 7 26 25 11 11 18 11 3 8 9 24 8 2 36 36
"Cluster-2491.13014" 6 3 0 1 4 2 0 1 1 0 0 0 0 4 0 6 6
"Cluster-2491.13016" 9 21 12 10 15 9 16 17 9 3 3 10 15 3 3 32 24
"Cluster-2491.13017" 7 8 3 1 2 0 132 54 108 2 10 6 17 109 12 417 151
"Cluster-2491.13020" 18 15 7 20 8 6 9 16 10 3 5 9 28 10 1 16 17
"Cluster-2491.13022" 15 8 7 23 28 15 4 12 3 11 30 43 46 6 7 23 32
"Cluster-2491.13023" 44 35 17 15 8 11 4 7 10 2 1 3 19 11 1 24 25
"Cluster-2491.13024" 324 274 168 142 159 97 86 223 161 52 88 74 137 86 103 474 302
"Cluster-2491.13026" 29 24 10 25 23 16 19 32 29 6 9 19 17 21 4 94 57
"Cluster-2491.13028" 0 0 0 0 0 0 5 3 8 0 0 0 0 4 7 12 4
"Cluster-2491.13032" 29 23 31 27 11 15 14 9 1 4 4 8 47 5 2 15 35
"Cluster-2491.13033" 37 17 18 18 8 13 5 10 10 3 8 9 11 10 4 41 22
"Cluster-2491.13035" 520 442 332 118 146 85 18 10 23 83 162 41 91 5 45 43 52
"Cluster-2491.13036" 539 421 301 67 64 53 15 6 14 108 185 54 92 4 38 37 33
"Cluster-2491.13041" 21 17 5 34 30 35 17 46 22 19 19 33 53 28 18 93 38
"Cluster-2491.13043" 64 43 34 19 33 13 26 59 44 24 40 14 30 29 28 146 66
"Cluster-2491.13050" 23 29 23 19 14 15 5 28 3 6 2 1 21 9 0 23 26
"Cluster-2491.13053" 18 25 21 35 18 15 12 31 24 10 8 15 27 13 4 92 43
"Cluster-2491.13055" 29 29 23 10 8 3 7 9 6 15 28 26 45 5 17 59 25
"Cluster-2491.13056" 18 18 6 15 8 6 3 11 6 7 12 9 20 2 4 3 16
"Cluster-2491.13058" 33 18 20 10 6 8 12 15 15 0 5 17 24 18 3 63 33
"Cluster-2491.13059" 88 107 55 105 85 86 85 164 101 37 101 162 272 69 54 288 262
"Cluster-2491.13060" 6 10 15 3 8 8 0 0 1 11 1 3 12 1 1 2 0
"Cluster-2491.13062" 5 2 7 1 77 26 503 2657 2317 5 5 2 698 963 537 7969 1155
"Cluster-2491.13064" 14 3 3 0 7 6 7 11 12 11 28 29 15 12 12 32 22
"Cluster-2491.13068" 0 4 0 10 6 12 5 43 6 2 1 6 8 32 0 72 53
"Cluster-2491.13070" 59 81 48 75 76 63 25 38 39 25 47 55 87 23 30 111 78
"Cluster-2491.13074" 2 9 3 30 15 14 24 21 9 1 3 5 15 8 5 38 25
"Cluster-2491.13075" 12 9 2 16 3 10 9 7 4 3 1 4 7 9 5 14 24
"Cluster-2491.13076" 4 12 2 7 14 7 2 12 2 40 26 20 35 2 12 16 10
"Cluster-2491.13077" 6 14 2 19 24 26 7 16 8 7 10 11 25 5 4 53 34
"Cluster-2491.13081" 6 0 1 0 2 0 1 1 1 1 5 14 9 2 1 15 10
"Cluster-2491.13082" 6 0 2 0 2 0 0 1 3 1 3 10 8 1 0 8 10
"Cluster-2491.13083" 11 6 5 2 4 5 0 14 1 0 2 1 2 17 3 6 18
"Cluster-2491.13084" 0 1 0 14 10 8 4 39 18 11 6 4 10 12 8 31 23
"Cluster-2491.13085" 7 10 7 2 8 9 1 4 5 1 0 2 2 3 0 6 3
"Cluster-2491.13088" 3 1 0 1 4 2 0 1 0 0 0 1 0 0 0 0 4
"Cluster-2491.13089" 252 261 173 111 85 124 110 434 277 184 237 81 119 129 198 258 315
"Cluster-2491.13091" 15 8 7 4 11 3 67 40 82 33 33 22 26 55 43 266 50
"Cluster-2491.13092" 45 35 23 5 8 1 65 35 65 25 34 23 22 40 37 202 47
"Cluster-2491.13095" 8 19 8 9 2 8 8 4 5 17 3 1 5 11 11 17 8
"Cluster-2491.13096" 9 2 5 0 0 1 0 2 3 0 0 0 2 1 0 2 1
"Cluster-2491.13099" 774 715 746 163 127 99 82 302 87 240 281 309 478 52 155 235 252
"Cluster-2491.13104" 20 25 14 43 31 32 7 30 25 20 24 12 34 27 15 43 48
"Cluster-2491.13105" 67 38 24 48 42 43 36 79 65 44 53 43 70 35 44 97 85
"Cluster-2491.13108" 26 11 32 20 8 23 13 21 27 13 16 17 45 8 6 56 40
"Cluster-2491.13109" 35 26 8 34 48 24 11 23 7 6 13 27 27 17 9 33 42
"Cluster-2491.13118" 7 3 6 14 7 6 1 35 1 0 1 2 2 5 0 14 24
"Cluster-2491.13119" 20 17 15 21 38 32 46 211 290 74 111 27 63 124 135 268 95
"Cluster-2491.13120" 0 1 0 0 0 0 39 11 23 0 0 0 0 11 8 32 8
"Cluster-2491.13121" 119 91 114 87 121 80 68 132 153 55 95 55 91 75 99 388 191
"Cluster-2491.13125" 5 3 1 24 35 44 71 28 100 34 58 18 12 13 35 325 88
"Cluster-2491.13126" 18 19 32 12 6 10 2 11 9 14 7 9 11 3 5 23 15
"Cluster-2491.13127" 2 5 9 9 1 0 3 3 5 6 3 2 11 1 1 13 8
"Cluster-2491.13129" 0 1 2 2 1 2 6 40 22 31 34 4 5 20 39 30 27
"Cluster-2491.13130" 3 2 1 7 3 6 2 9 3 9 8 10 14 1 3 11 8
"Cluster-2491.13131" 13 19 10 17 5 11 6 13 8 4 6 4 12 5 3 12 19
"Cluster-2491.13134" 0 0 0 0 0 0 61 4 24 4 0 0 0 16 4 23 22
"Cluster-2491.13138" 7 7 0 15 126 22 5 92 11 0 0 7 14 26 0 19 161
"Cluster-2491.13139" 0 0 0 0 0 0 2320 1617 1491 0 0 0 0 1237 1039 4759 2377
"Cluster-2491.13140" 7 4 5 14 22 12 10 37 31 6 16 17 28 18 16 50 32
"Cluster-2491.13141" 13 10 8 8 8 4 86 53 99 10 30 8 10 43 53 153 65
"Cluster-2491.13147" 33 25 18 41 31 16 8 31 13 4 14 13 20 9 6 83 39
"Cluster-2491.13148" 3 2 1 0 0 0 14 1 18 0 0 0 0 10 2 34 25
"Cluster-2491.13149" 9 14 10 10 4 3 34 13 14 3 9 1 4 32 15 80 37
"Cluster-2491.13151" 19 28 31 9 8 9 6 28 3 6 5 4 17 17 4 43 26
"Cluster-2491.13152" 0 0 2 0 0 0 2 0 3 0 0 0 1 4 0 11 3
"Cluster-2491.13154" 0 0 0 31 23 27 4 3 8 1 3 1 0 2 4 13 6
"Cluster-2491.13157" 32 24 10 12 9 6 14 38 44 17 22 33 37 16 7 20 80
"Cluster-2491.13159" 0 0 0 0 0 0 10 25 0 0 0 0 4 4 0 0 0
"Cluster-2491.13162" 14 9 10 5 16 13 5 9 13 5 1 3 6 5 3 10 9
